solution 21 [ fit.: 0.375333, part.: (0.180460, 0.250000, 0.979040, 0.982909, ), spec.: 0, adj.fit.: 0.001877, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, mutation()]
solution 22 [ fit.: 0.375230, part.: (0.180460, 0.250000, 0.979629, 0.981292, ), spec.: 0, adj.fit.: 0.001876, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, mutation()]
solution 23 [ fit.: 0.375105, part.: (0.180460, 0.250000, 0.978707, 0.980960, ), spec.: 0, adj.fit.: 0.001876, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, mutation()]
solution 24 [ fit.: 0.487352, part.: (0.833843, 0.250000, 0.143518, 0.978468, ), spec.: 0, adj.fit.: 0.002437, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, mutation()]
solution 25 [ fit.: 0.374019, part.: (0.180460, 0.250000, 0.971964, 0.976843, ), spec.: 0, adj.fit.: 0.001870, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, mutation()]
solution 26 [ fit.: 0.374838, part.: (0.180460, 0.250000, 0.979867, 0.977130, ), spec.: 0, adj.fit.: 0.001874, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, mutation()]
solution 27 [ fit.: 0.506907, part.: (0.618392, 0.250000, 0.981640, 0.982250, ), spec.: 0, adj.fit.: 0.002535, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, mutation()]
solution 28 [ fit.: 0.375747, part.: (0.180460, 0.250000, 0.982217, 0.983871, ), spec.: 0, adj.fit.: 0.001879, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, mutation()]
solution 29 [ fit.: 0.420603, part.: (0.336980, 0.250000, 0.977043, 0.968043, ), spec.: 0, adj.fit.: 0.002103, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, mutation()]
solution 30 [ fit.: 0.444643, part.: (0.679852, 0.250000, 0.179727, 0.977148, ), spec.: 0, adj.fit.: 0.002223, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, mutation()]
