solution 1720 [ fit.: 0.684210, part.: (0.663886, 0.692702, 0.696041, ), spec.: 0, adj.fit.: 0.006842, age: 0, parents (1600, 1677), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1721 [ fit.: 0.683860, part.: (0.664608, 0.692713, 0.694258, ), spec.: 0, adj.fit.: 0.006839, age: 0, parents (1691, 1661), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1722 [ fit.: 0.684550, part.: (0.664978, 0.692467, 0.696204, ), spec.: 0, adj.fit.: 0.006845, age: 0, parents (1681, 1667), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1723 [ fit.: 0.684083, part.: (0.663364, 0.692877, 0.696008, ), spec.: 0, adj.fit.: 0.006841, age: 0, parents (1696, 1666), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1724 [ fit.: 0.683713, part.: (0.663802, 0.693076, 0.694260, ), spec.: 0, adj.fit.: 0.006837, age: 0, parents (1693, 1636), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1725 [ fit.: 0.684171, part.: (0.665396, 0.691130, 0.695986, ), spec.: 0, adj.fit.: 0.006842, age: 0, parents (1695, 1626), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1726 [ fit.: 0.684249, part.: (0.665166, 0.692568, 0.695014, ), spec.: 0, adj.fit.: 0.006842, age: 0, parents (1670, 1675), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1727 [ fit.: 0.684506, part.: (0.665382, 0.692307, 0.695830, ), spec.: 0, adj.fit.: 0.006845, age: 0, parents (1679, 1605), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1728 [ fit.: 0.683768, part.: (0.664159, 0.691818, 0.695329, ), spec.: 0, adj.fit.: 0.006838, age: 0, parents (1680, 1664), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1729 [ fit.: 0.683410, part.: (0.664778, 0.691362, 0.694088, ), spec.: 0, adj.fit.: 0.006834, age: 0, parents (1623, 1616), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1730 [ fit.: 0.684509, part.: (0.664346, 0.692302, 0.696878, ), spec.: 0, adj.fit.: 0.006845, age: 0, parents (1691, 1615), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1731 [ fit.: 0.684280, part.: (0.664812, 0.692988, 0.695040, ), spec.: 0, adj.fit.: 0.006843, age: 0, parents (1623, 1626), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
solution 1732 [ fit.: 0.680895, part.: (0.664795, 0.688151, 0.689738, ), spec.: 0, adj.fit.: 0.006809, age: 0, parents (1600, 1682), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), })]
