solution 23 [ fit.: 0.674673, part.: (0.664829, 0.677826, 0.681365, ), spec.: 0, adj.fit.: 0.006747, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {})]
solution 24 [ fit.: 0.565059, part.: (0.615634, 0.538089, 0.541454, ), spec.: 0, adj.fit.: 0.005651, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {})]
solution 25 [ fit.: 0.670016, part.: (0.663510, 0.671624, 0.674915, ), spec.: 0, adj.fit.: 0.006700, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {})]
solution 26 [ fit.: 0.670736, part.: (0.665610, 0.671600, 0.674997, ), spec.: 0, adj.fit.: 0.006707, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {})]
solution 27 [ fit.: 0.672124, part.: (0.663720, 0.674441, 0.678209, ), spec.: 0, adj.fit.: 0.006721, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {})]
solution 28 [ fit.: 0.669914, part.: (0.664779, 0.670892, 0.674071, ), spec.: 0, adj.fit.: 0.006699, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {})]
solution 29 [ fit.: 0.667620, part.: (0.665414, 0.667119, 0.670327, ), spec.: 0, adj.fit.: 0.006676, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {})]
solution 30 [ fit.: 0.676770, part.: (0.665816, 0.680603, 0.683891, ), spec.: 0, adj.fit.: 0.006768, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {})]
solution 31 [ fit.: 0.666481, part.: (0.663880, 0.666758, 0.668806, ), spec.: 0, adj.fit.: 0.006665, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {})]
solution 32 [ fit.: 0.678230, part.: (0.664353, 0.684413, 0.685924, ), spec.: 0, adj.fit.: 0.006782, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {})]
