Current generation: 0 Number of solutions: 100 Number of active species: 1 Has fitness improved: yes Number of generations without improvement: 0 Best solution: [solution 93 [ fit.: 0.666606, part.: (0.662675, 0.665584, 0.671558, ), spec.: 0, adj.fit.: 0.006666, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {})]]
Current generation: 1 Number of solutions: 100 Number of active species: 1 Has fitness improved: yes Number of generations without improvement: 0 Best solution: [solution 160 [ fit.: 0.670571, part.: (0.664227, 0.672228, 0.675257, ), spec.: 0, adj.fit.: 0.006706, age: 0, parents (97, 5), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {})]]
Current generation: 2 Number of solutions: 100 Number of active species: 1 Has fitness improved: yes Number of generations without improvement: 0 Best solution: [solution 250 [ fit.: 0.670029, part.: (0.663297, 0.671894, 0.674896, ), spec.: 0, adj.fit.: 0.006700, age: 0, parents (160, 115), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), })]]
Current generation: 3 Number of solutions: 100 Number of active species: 1 Has fitness improved: no Number of generations without improvement: 1 Best solution: [solution 352 [ fit.: 0.670474, part.: (0.663941, 0.672783, 0.674699, ), spec.: 0, adj.fit.: 0.006705, age: 0, parents (250, 243), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), })]]
Current generation: 4 Number of solutions: 100 Number of active species: 1 Has fitness improved: no Number of generations without improvement: 2 Best solution: [solution 472 [ fit.: 0.670299, part.: (0.664286, 0.672710, 0.673902, ), spec.: 0, adj.fit.: 0.006703, age: 0, parents (352, 342), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), })]]
Current generation: 5 Number of solutions: 100 Number of active species: 1 Has fitness improved: no Number of generations without improvement: 3 Best solution: [solution 502 [ fit.: 0.670976, part.: (0.664734, 0.671663, 0.676531, ), spec.: 0, adj.fit.: 0.006710, age: 0, parents (419, 434), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), })]]
Current generation: 6 Number of solutions: 100 Number of active species: 1 Has fitness improved: yes Number of generations without improvement: 0 Best solution: [solution 678 [ fit.: 0.670805, part.: (0.662263, 0.672864, 0.677287, ), spec.: 0, adj.fit.: 0.006708, age: 0, parents (585, 524), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), })]]
Current generation: 7 Number of solutions: 100 Number of active species: 1 Has fitness improved: no Number of generations without improvement: 1 Best solution: [solution 726 [ fit.: 0.671207, part.: (0.665055, 0.673362, 0.675204, ), spec.: 0, adj.fit.: 0.006712, age: 0, parents (650, 642), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), })]]
Current generation: 8 Number of solutions: 100 Number of active species: 1 Has fitness improved: yes Number of generations without improvement: 0 Best solution: [solution 827 [ fit.: 0.672406, part.: (0.666108, 0.672633, 0.678477, ), spec.: 0, adj.fit.: 0.006724, age: 0, parents (724, 755), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), })]]
Current generation: 9 Number of solutions: 100 Number of active species: 1 Has fitness improved: yes Number of generations without improvement: 0 Best solution: [solution 920 [ fit.: 0.671604, part.: (0.663933, 0.673708, 0.677172, ), spec.: 0, adj.fit.: 0.006716, age: 0, parents (827, 843), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), })]]
Current generation: 10 Number of solutions: 100 Number of active species: 1 Has fitness improved: no Number of generations without improvement: 1 Best solution: [solution 1004 [ fit.: 0.672003, part.: (0.664616, 0.673662, 0.677730, ), spec.: 0, adj.fit.: 0.006720, age: 0, parents (827, 982), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 1, enabled: true), })]]
